# Simulated spore data file for batch processing
# timestamp: 2021-05-15 17:20:45
# SKM
# ----------------------------------

"spore_length","spore_width","spore_vol"
44.9510608236872,30.1805808403688,30036.0007817784
37.7796272669286,27.5301718185793,7866.09652873526
48.7419894068913,25.2660112964755,32163.1362297396
38.3257032213254,27.4525084277863,23911.2841426326
29.1873719520635,41.5018578027914,11212.0254797867
45.331148168359,22.4971211873326,10538.8970450302
38.3571127398938,22.0813013790273,28722.9212762285
39.9696048755481,30.79457231051,21356.2263183141
32.4783488148551,35.3642473280848,15001.2739922367
37.4094428946674,28.6147245045947,14527.0943769266
31.6012752766099,29.5816650771449,15201.1654386125
32.3704726616972,30.4953125958963,39120.8460260482
41.0054642477874,33.0669617434841,30376.55477179
39.3490105869532,26.3312834336816,18623.1821893729
47.6009856739947,26.6771828457516,11227.0744760286
46.466330661559,23.1577993034155,21597.3759453902
47.6595063040666,35.2989557496015,16072.2290937721
40.0876624841172,27.5819386993612,31339.0421208528
39.8980050999191,34.6195691140452,29060.6241236457
32.1869311639242,26.2330544052345,28700.8762558864
36.4442174414446,36.8247234268068,30240.2708056612
34.6906455190638,24.0036672993911,34900.0414916983
44.8430261989414,32.7876381423188,33050.8191744717
28.9876326879613,26.6832417700597,32425.6361896063
37.3192205005675,32.3972821853581,20749.0016723008
48.4245176139694,41.3496053229479,14660.923078999
43.4799900134681,33.1706810249625,7452.4227153658
32.166172787852,35.6268537313741,14134.2816336184
33.3414967826367,24.31939498519,23286.3771496439
34.2076386544648,29.4732678552796,6570.76531416571
29.349997799642,24.0571451049322,8315.28418307372
38.9942118366818,28.0552577215745,32763.0110297314
38.9279801755543,30.9624772122921,NA
36.1335651983396,28.451605335725,16955.0021620302
40.1123277918825,30.6221778071963,25653.8828759086
34.8470877469563,22.5354731426008,26750.307599513
34.9215335465284,23.1414584120463,23915.177868754
40.4283377250191,37.8763742360319,28036.3418499901
47.2481817063712,28.2291081749767,29060.6155299104
40.6256904211082,34.0896755596299,38122.2763553303
36.8303439649434,26.6404181881592,22235.6571608811
31.8863754054548,29.152613716561,22462.3452963287
42.1842531275526,27.7590839209811,16191.0677852977
42.9361771447694,35.7760160528215,37117.8096900284
39.9094628262241,41.5415060785678,22943.5025725197
38.3723511382058,33.0161230957828,3493.34168524536
38.8343232541763,33.1518894862379,27513.5174610968
51.3852613287652,33.7600153336668,13901.7190566719
39.6423229442162,26.3636200917201,14495.6206276749
45.2073201930739,27.8838607618732,24037.2422407428
25.9204792591872,28.8426133418597,NA
37.311099192474,31.1795124137712,35381.7518704455
43.3553717611649,28.7776405447849,7327.27883587285
43.935742076499,30.6864151922604,21025.3053025162
38.1565024554781,36.1776492446746,8182.71393386791
29.0821565265692,26.5113466220472,856.745818545343
34.0489804898069,32.9247689987375,29611.1846397356
41.258110316346,29.2216793993865,13531.1739686132
41.3584701579373,25.7072026863567,7993.96363192319
25.0004579245469,28.8726578063855,19405.5417490756
43.1543268401414,37.8100534864811,26390.3496714241
35.5524558253229,33.9871745094283,NA
43.3425877513761,31.0794279259782,12291.2489827631
35.9551432751433,34.7793534364837,5696.88421835065
28.1844690971802,9.46400279184954,15811.2182052834
34.5248862284101,37.3697225238151,NA
45.3813099451192,29.4364177170222,5261.80471921145
45.7585047470706,27.1673926858425,9052.04202145115
40.8692143155341,32.0161490886066,10044.6653749927
48.0340000138357,34.1877765094452,20332.9604460594
41.9596185633037,41.9291498444606,27673.5021533958
41.1989658126786,27.2760100472487,26484.5423192904
41.6934465378787,29.7997041032634,37116.4758165302
42.8004842223022,19.1063948647756,5837.13363641611
52.5048979175506,38.9345931423679,23091.1515313996
32.7835859748554,33.8989737303416,17839.8319537372
38.3991505254149,29.1684701027479,11966.0216253651
31.3836613771893,35.5639482843378,22517.2306065264
32.0986702950597,30.1957595645863,27274.3766815928
28.8028849686744,33.831464765066,23398.8052834388
